#: table_doi: 10.17182/hepdata.90640.v1/t23
#: name: Statistical covariance matrix
#: description: Figure 8, statistical covariance matrix for normalized differential cross sections (note, the figure in the paper is for the corresponding correlation matrix)
#: data_file: statcov_normdiffxsec_AllVars.yaml
#: keyword cmenergies: 13000.0
#: keyword reactions: P P --> TOP TOPBAR X
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GEV],13000
Bin,Bin,Statistical covariance for all normalized differential cross section bins
$\cos\theta_{1}^{k}$ bin 1,$\cos\theta_{1}^{k}$ bin 1,7.129429417e-05
$\cos\theta_{1}^{k}$ bin 2,$\cos\theta_{1}^{k}$ bin 1,-2.471342113e-05
$\cos\theta_{1}^{k}$ bin 3,$\cos\theta_{1}^{k}$ bin 1,-1.719583794e-05
$\cos\theta_{1}^{k}$ bin 4,$\cos\theta_{1}^{k}$ bin 1,-3.678008535e-06
$\cos\theta_{1}^{k}$ bin 5,$\cos\theta_{1}^{k}$ bin 1,-1.292246125e-05
$\cos\theta_{1}^{k}$ bin 6,$\cos\theta_{1}^{k}$ bin 1,-1.278456531e-05
$\cos\theta_{2}^{k}$ bin 1,$\cos\theta_{1}^{k}$ bin 1,-2.515705324e-06
$\cos\theta_{2}^{k}$ bin 2,$\cos\theta_{1}^{k}$ bin 1,-5.850151235e-07
$\cos\theta_{2}^{k}$ bin 3,$\cos\theta_{1}^{k}$ bin 1,7.286970452e-07
$\cos\theta_{2}^{k}$ bin 4,$\cos\theta_{1}^{k}$ bin 1,-4.398462961e-08
$\cos\theta_{2}^{k}$ bin 5,$\cos\theta_{1}^{k}$ bin 1,4.535169321e-07
$\cos\theta_{2}^{k}$ bin 6,$\cos\theta_{1}^{k}$ bin 1,1.962491099e-06
$\cos\theta_{1}^{r}$ bin 1,$\cos\theta_{1}^{k}$ bin 1,-8.165334692e-06
$\cos\theta_{1}^{r}$ bin 2,$\cos\theta_{1}^{k}$ bin 1,-3.413768045e-06
$\cos\theta_{1}^{r}$ bin 3,$\cos\theta_{1}^{k}$ bin 1,6.427148813e-06
$\cos\theta_{1}^{r}$ bin 4,$\cos\theta_{1}^{k}$ bin 1,9.743382538e-06
$\cos\theta_{1}^{r}$ bin 5,$\cos\theta_{1}^{k}$ bin 1,1.978318935e-06
$\cos\theta_{1}^{r}$ bin 6,$\cos\theta_{1}^{k}$ bin 1,-6.569747549e-06
$\cos\theta_{2}^{r}$ bin 1,$\cos\theta_{1}^{k}$ bin 1,1.893042728e-06
$\cos\theta_{2}^{r}$ bin 2,$\cos\theta_{1}^{k}$ bin 1,-1.849560436e-06
$\cos\theta_{2}^{r}$ bin 3,$\cos\theta_{1}^{k}$ bin 1,1.692766249e-07
$\cos\theta_{2}^{r}$ bin 4,$\cos\theta_{1}^{k}$ bin 1,8.109483064e-07
$\cos\theta_{2}^{r}$ bin 5,$\cos\theta_{1}^{k}$ bin 1,-1.356230188e-07
$\cos\theta_{2}^{r}$ bin 6,$\cos\theta_{1}^{k}$ bin 1,-8.880842041e-07
$\cos\theta_{1}^{n}$ bin 1,$\cos\theta_{1}^{k}$ bin 1,-9.082897899e-06
$\cos\theta_{1}^{n}$ bin 2,$\cos\theta_{1}^{k}$ bin 1,8.386745993e-07
$\cos\theta_{1}^{n}$ bin 3,$\cos\theta_{1}^{k}$ bin 1,6.74617343e-06
$\cos\theta_{1}^{n}$ bin 4,$\cos\theta_{1}^{k}$ bin 1,7.904830562e-06
$\cos\theta_{1}^{n}$ bin 5,$\cos\theta_{1}^{k}$ bin 1,2.590665813e-06
$\cos\theta_{1}^{n}$ bin 6,$\cos\theta_{1}^{k}$ bin 1,-8.997446504e-06
$\cos\theta_{2}^{n}$ bin 1,$\cos\theta_{1}^{k}$ bin 1,-6.24858744e-07
$\cos\theta_{2}^{n}$ bin 2,$\cos\theta_{1}^{k}$ bin 1,3.857878838e-07
